benchmark,treatment,run_id,analysis,fitness
chg_env,ED0_AS1_ENV16_TSK0,701,fdom,15.88
chg_env,ED0_AS1_ENV16_TSK0,702,fdom,16.76
chg_env,ED0_AS1_ENV16_TSK0,703,fdom,24.97
chg_env,ED0_AS1_ENV16_TSK0,704,fdom,24.93
chg_env,ED0_AS1_ENV16_TSK0,705,fdom,24.87
chg_env,ED0_AS1_ENV16_TSK0,706,fdom,26.68
chg_env,ED0_AS1_ENV16_TSK0,707,fdom,26.85
chg_env,ED0_AS1_ENV16_TSK0,708,fdom,22.16
chg_env,ED0_AS1_ENV16_TSK0,709,fdom,16.17
chg_env,ED0_AS1_ENV16_TSK0,710,fdom,15.94
chg_env,ED0_AS1_ENV16_TSK0,711,fdom,31.6
chg_env,ED0_AS1_ENV16_TSK0,712,fdom,13.68
chg_env,ED0_AS1_ENV16_TSK0,713,fdom,23.08
chg_env,ED0_AS1_ENV16_TSK0,714,fdom,15.71
chg_env,ED0_AS1_ENV16_TSK0,715,fdom,16.09
chg_env,ED0_AS1_ENV16_TSK0,716,fdom,19.68
chg_env,ED0_AS1_ENV16_TSK0,717,fdom,14.18
chg_env,ED0_AS1_ENV16_TSK0,718,fdom,22.53
chg_env,ED0_AS1_ENV16_TSK0,719,fdom,15.55
chg_env,ED0_AS1_ENV16_TSK0,720,fdom,15.05
chg_env,ED0_AS1_ENV16_TSK0,721,fdom,19.68
chg_env,ED0_AS1_ENV16_TSK0,722,fdom,30.34
chg_env,ED0_AS1_ENV16_TSK0,723,fdom,23.72
chg_env,ED0_AS1_ENV16_TSK0,724,fdom,23.16
chg_env,ED0_AS1_ENV16_TSK0,725,fdom,35.22
chg_env,ED0_AS1_ENV16_TSK0,726,fdom,22.62
chg_env,ED0_AS1_ENV16_TSK0,727,fdom,15.92
chg_env,ED0_AS1_ENV16_TSK0,728,fdom,20.2
chg_env,ED0_AS1_ENV16_TSK0,729,fdom,23.56
chg_env,ED0_AS1_ENV16_TSK0,730,fdom,16.19
chg_env,ED0_AS1_ENV16_TSK0,731,fdom,21.14
chg_env,ED0_AS1_ENV16_TSK0,732,fdom,23.25
chg_env,ED0_AS1_ENV16_TSK0,733,fdom,31.68
chg_env,ED0_AS1_ENV16_TSK0,734,fdom,31.58
chg_env,ED0_AS1_ENV16_TSK0,735,fdom,15.89
chg_env,ED0_AS1_ENV16_TSK0,736,fdom,28.02
chg_env,ED0_AS1_ENV16_TSK0,737,fdom,24.4
chg_env,ED0_AS1_ENV16_TSK0,738,fdom,31.58
chg_env,ED0_AS1_ENV16_TSK0,739,fdom,27.04
chg_env,ED0_AS1_ENV16_TSK0,740,fdom,15.71
chg_env,ED0_AS1_ENV16_TSK0,741,fdom,21.84
chg_env,ED0_AS1_ENV16_TSK0,742,fdom,26.09
chg_env,ED0_AS1_ENV16_TSK0,743,fdom,20.92
chg_env,ED0_AS1_ENV16_TSK0,744,fdom,15.85
chg_env,ED0_AS1_ENV16_TSK0,745,fdom,15.84
chg_env,ED0_AS1_ENV16_TSK0,746,fdom,23.38
chg_env,ED0_AS1_ENV16_TSK0,747,fdom,20.56
chg_env,ED0_AS1_ENV16_TSK0,748,fdom,16.12
chg_env,ED0_AS1_ENV16_TSK0,749,fdom,21.96
chg_env,ED0_AS1_ENV16_TSK0,750,fdom,15.54
chg_env,ED0_AS1_ENV16_TSK0,751,fdom,31.11
chg_env,ED0_AS1_ENV16_TSK0,752,fdom,21.82
chg_env,ED0_AS1_ENV16_TSK0,753,fdom,25.54
chg_env,ED0_AS1_ENV16_TSK0,754,fdom,20.67
chg_env,ED0_AS1_ENV16_TSK0,755,fdom,20.49
chg_env,ED0_AS1_ENV16_TSK0,756,fdom,16.07
chg_env,ED0_AS1_ENV16_TSK0,757,fdom,16.31
chg_env,ED0_AS1_ENV16_TSK0,758,fdom,15.57
chg_env,ED0_AS1_ENV16_TSK0,759,fdom,16.72
chg_env,ED0_AS1_ENV16_TSK0,760,fdom,21.34
chg_env,ED0_AS1_ENV16_TSK0,761,fdom,16.6
chg_env,ED0_AS1_ENV16_TSK0,762,fdom,31.82
chg_env,ED0_AS1_ENV16_TSK0,763,fdom,28.46
chg_env,ED0_AS1_ENV16_TSK0,764,fdom,16.18
chg_env,ED0_AS1_ENV16_TSK0,765,fdom,19.37
chg_env,ED0_AS1_ENV16_TSK0,766,fdom,16.17
chg_env,ED0_AS1_ENV16_TSK0,767,fdom,15.81
chg_env,ED0_AS1_ENV16_TSK0,768,fdom,15.85
chg_env,ED0_AS1_ENV16_TSK0,769,fdom,32.14
chg_env,ED0_AS1_ENV16_TSK0,770,fdom,18.68
chg_env,ED0_AS1_ENV16_TSK0,771,fdom,16.82
chg_env,ED0_AS1_ENV16_TSK0,772,fdom,16.32
chg_env,ED0_AS1_ENV16_TSK0,773,fdom,28.96
