benchmark,treatment,run_id,final_update,mean_fitness,max_fitness
consensus,EventDriven_MsgForking,97,50000,2005.24,5475
consensus,EventDriven_MsgForking,98,50000,0,0
consensus,EventDriven_MsgForking,99,50000,1843.01,5550
consensus,EventDriven_MsgForking,9,50000,0,0
consensus,Imperative_MsgForking,101,50000,499.423,4575
consensus,Imperative_MsgForking,102,50000,1197.42,5050
consensus,Imperative_MsgForking,103,50000,1800.95,5025
consensus,Imperative_MsgForking,104,50000,312.15,3375
consensus,Imperative_MsgForking,105,50000,76.02,1475
consensus,Imperative_MsgForking,106,50000,812.747,4375
consensus,Imperative_MsgForking,107,50000,743.242,4350
consensus,Imperative_MsgForking,108,50000,828.525,4875
consensus,Imperative_MsgForking,109,50000,617.107,4325
consensus,Imperative_MsgForking,110,50000,947.565,4650
consensus,Imperative_MsgForking,111,50000,898.29,4900
consensus,Imperative_MsgForking,112,50000,510.743,4350
consensus,Imperative_MsgForking,113,50000,24.83,26
consensus,Imperative_MsgForking,114,50000,665.115,4600
consensus,Imperative_MsgForking,115,50000,983.205,4825
consensus,Imperative_MsgForking,116,50000,845.933,4900
consensus,Imperative_MsgForking,117,50000,189.415,1800
consensus,Imperative_MsgForking,118,50000,160.067,1400
consensus,Imperative_MsgForking,119,50000,906.955,4150
consensus,Imperative_MsgForking,120,50000,325.942,4350
consensus,Imperative_MsgForking,121,50000,33.47,49
consensus,Imperative_MsgForking,122,50000,24.8775,26
consensus,Imperative_MsgForking,123,50000,941.1,4550
consensus,Imperative_MsgForking,124,50000,337.415,3825
consensus,Imperative_MsgForking,125,50000,714.158,4950
consensus,Imperative_MsgForking,126,50000,682.263,4750
consensus,Imperative_MsgForking,127,50000,137.565,3100
consensus,Imperative_MsgForking,128,50000,580.19,4275
consensus,Imperative_MsgForking,129,50000,363.81,4150
consensus,Imperative_MsgForking,130,50000,469.858,4175
consensus,Imperative_MsgForking,131,50000,760.753,5075
consensus,Imperative_MsgForking,132,50000,951.93,5300
consensus,Imperative_MsgForking,133,50000,346.048,4675
consensus,Imperative_MsgForking,134,50000,920.99,4900
consensus,Imperative_MsgForking,135,50000,479.22,3800
consensus,Imperative_MsgForking,136,50000,516.045,4075
consensus,Imperative_MsgForking,137,50000,936.913,4725
consensus,Imperative_MsgForking,138,50000,939.93,4800
consensus,Imperative_MsgForking,139,50000,595.345,5075
consensus,Imperative_MsgForking,140,50000,1243.98,5250
consensus,Imperative_MsgForking,141,50000,471.498,4350
consensus,Imperative_MsgForking,142,50000,1031.98,5275
consensus,Imperative_MsgForking,143,50000,232.583,2025
consensus,Imperative_MsgForking,144,50000,0,0
consensus,Imperative_MsgForking,145,50000,915.395,4475
consensus,Imperative_MsgForking,146,50000,672.793,4350
consensus,Imperative_MsgForking,147,50000,687.155,4925
consensus,Imperative_MsgForking,148,50000,1571.43,5250
consensus,Imperative_MsgForking,149,50000,0,0
consensus,Imperative_MsgForking,150,50000,441.88,3900
consensus,Imperative_MsgForking,151,50000,1033.52,4975
consensus,Imperative_MsgForking,152,50000,888.928,4675
consensus,Imperative_MsgForking,153,50000,631.572,4750
consensus,Imperative_MsgForking,154,50000,991.565,4750
consensus,Imperative_MsgForking,155,50000,650.727,4450
consensus,Imperative_MsgForking,156,50000,622.638,4425
consensus,Imperative_MsgForking,157,50000,622.438,4800
consensus,Imperative_MsgForking,158,50000,801.86,4525
consensus,Imperative_MsgForking,159,50000,644.325,4400
consensus,Imperative_MsgForking,160,50000,471.553,4125
consensus,Imperative_MsgForking,161,50000,799.91,4725
consensus,Imperative_MsgForking,162,50000,1147.25,5175
consensus,Imperative_MsgForking,163,50000,627.378,4400
consensus,Imperative_MsgForking,164,50000,671.94,4550
consensus,Imperative_MsgForking,165,50000,597.605,4000
consensus,Imperative_MsgForking,166,50000,664.72,4425
consensus,Imperative_MsgForking,167,50000,184.868,3100
consensus,Imperative_MsgForking,168,50000,0,0
consensus,Imperative_MsgForking,169,50000,1007.53,5050
consensus,Imperative_MsgForking,170,50000,851.355,4250
consensus,Imperative_MsgForking,171,50000,744.133,4075
consensus,Imperative_MsgForking,172,50000,951.715,4700
consensus,Imperative_MsgForking,173,50000,739.928,4550
consensus,Imperative_MsgForking,174,50000,770.095,4225
consensus,Imperative_MsgForking,175,50000,209.125,1425
consensus,Imperative_MsgForking,176,50000,859.253,5200
consensus,Imperative_MsgForking,177,50000,773.928,4675
consensus,Imperative_MsgForking,178,50000,0,0
consensus,Imperative_MsgForking,179,50000,774.942,4725
consensus,Imperative_MsgForking,180,50000,810.81,5000
consensus,Imperative_MsgForking,181,50000,600.19,4475
consensus,Imperative_MsgForking,182,50000,1269.17,4725
consensus,Imperative_MsgForking,183,50000,800.93,4375
consensus,Imperative_MsgForking,184,50000,832.01,5000
consensus,Imperative_MsgForking,185,50000,834.545,5350
consensus,Imperative_MsgForking,186,50000,482.168,4100
consensus,Imperative_MsgForking,187,50000,594.482,4775
consensus,Imperative_MsgForking,188,50000,916.165,4600
consensus,Imperative_MsgForking,189,50000,327.842,3450
consensus,Imperative_MsgForking,190,50000,488.79,3975
consensus,Imperative_MsgForking,191,50000,844.013,4625
consensus,Imperative_MsgForking,192,50000,0,0
consensus,Imperative_MsgForking,193,50000,1368.59,5075
consensus,Imperative_MsgForking,194,50000,1130.82,5150
consensus,Imperative_MsgForking,195,50000,338.245,3550
consensus,Imperative_MsgForking,196,50000,1067.3,4425
consensus,Imperative_MsgForking,197,50000,882.95,4950
consensus,Imperative_MsgForking,198,50000,1133.96,4825
consensus,Imperative_MsgForking,199,50000,0,0
consensus,Imperative_MsgForking,200,50000,321.42,3525
consensus,Imperative_MsgNonForking,201,50000,902.688,4775
consensus,Imperative_MsgNonForking,202,50000,1120.33,4925
consensus,Imperative_MsgNonForking,203,50000,673.543,4050
consensus,Imperative_MsgNonForking,204,50000,1620.49,5025
consensus,Imperative_MsgNonForking,205,50000,916.508,4675
consensus,Imperative_MsgNonForking,206,50000,1736.67,5375
consensus,Imperative_MsgNonForking,207,50000,2131.92,4375
consensus,Imperative_MsgNonForking,208,50000,1343.49,5325
consensus,Imperative_MsgNonForking,209,50000,1023.79,4575
consensus,Imperative_MsgNonForking,210,50000,665.653,3775
consensus,Imperative_MsgNonForking,211,50000,1264.67,4925
consensus,Imperative_MsgNonForking,212,50000,1008.51,5100
consensus,Imperative_MsgNonForking,213,50000,1171.7,5100
consensus,Imperative_MsgNonForking,214,50000,1679.44,3625
consensus,Imperative_MsgNonForking,215,50000,645.775,3125
consensus,Imperative_MsgNonForking,216,50000,1039.93,4525
consensus,Imperative_MsgNonForking,217,50000,755.865,4600
consensus,Imperative_MsgNonForking,218,50000,1016.22,4275
consensus,Imperative_MsgNonForking,219,50000,0,0
consensus,Imperative_MsgNonForking,220,50000,1698.66,4775
consensus,Imperative_MsgNonForking,221,50000,31.505,46
consensus,Imperative_MsgNonForking,222,50000,1265.44,4975
consensus,Imperative_MsgNonForking,223,50000,1733.49,5225
consensus,Imperative_MsgNonForking,224,50000,1876.76,5275
consensus,Imperative_MsgNonForking,225,50000,1367.33,4450
consensus,Imperative_MsgNonForking,226,50000,720.07,4925
consensus,Imperative_MsgNonForking,227,50000,1404.71,5100
consensus,Imperative_MsgNonForking,228,50000,1226.81,4950
consensus,Imperative_MsgNonForking,229,50000,698.452,4825
consensus,Imperative_MsgNonForking,230,50000,1255.28,5075
consensus,Imperative_MsgNonForking,231,50000,1190.83,4675
consensus,Imperative_MsgNonForking,232,50000,914.82,4400
consensus,Imperative_MsgNonForking,233,50000,119.123,1950
consensus,Imperative_MsgNonForking,234,50000,1261.7,4675
consensus,Imperative_MsgNonForking,235,50000,1323.02,5250
consensus,Imperative_MsgNonForking,236,50000,639.71,3475
consensus,Imperative_MsgNonForking,237,50000,1432.61,4650
consensus,Imperative_MsgNonForking,238,50000,882.163,4950
consensus,Imperative_MsgNonForking,239,50000,1269.69,5025
consensus,Imperative_MsgNonForking,240,50000,1341.92,4725
consensus,Imperative_MsgNonForking,241,50000,1394.39,4950
consensus,Imperative_MsgNonForking,242,50000,1269.61,5125
consensus,Imperative_MsgNonForking,243,50000,29.035,46
consensus,Imperative_MsgNonForking,244,50000,1874.97,5250
consensus,Imperative_MsgNonForking,245,50000,1288.19,4675
consensus,Imperative_MsgNonForking,246,50000,0,0
consensus,Imperative_MsgNonForking,247,50000,1625.39,5025
consensus,Imperative_MsgNonForking,248,50000,886.5,4350
consensus,Imperative_MsgNonForking,249,50000,838.607,4850
consensus,Imperative_MsgNonForking,250,50000,2145.86,5450
consensus,Imperative_MsgNonForking,251,50000,769.847,4600
consensus,Imperative_MsgNonForking,252,50000,1224.05,5100
consensus,Imperative_MsgNonForking,253,50000,1203.04,5300
consensus,Imperative_MsgNonForking,254,50000,35.5675,900
consensus,Imperative_MsgNonForking,255,50000,0,0
consensus,Imperative_MsgNonForking,256,50000,1705.99,4575
consensus,Imperative_MsgNonForking,257,50000,408.257,3900
consensus,Imperative_MsgNonForking,258,50000,775.615,3850
consensus,Imperative_MsgNonForking,259,50000,1334.44,4675
consensus,Imperative_MsgNonForking,260,50000,1310.11,5325
consensus,Imperative_MsgNonForking,261,50000,1184.85,4925
consensus,Imperative_MsgNonForking,262,50000,1365.28,5375
consensus,Imperative_MsgNonForking,263,50000,1641.76,5025
consensus,Imperative_MsgNonForking,264,50000,1846.97,5500
consensus,Imperative_MsgNonForking,265,50000,1350.7,5025
consensus,Imperative_MsgNonForking,266,50000,789.855,4225
consensus,Imperative_MsgNonForking,267,50000,1197.49,4700
consensus,Imperative_MsgNonForking,268,50000,999.57,4875
consensus,Imperative_MsgNonForking,269,50000,668.5,3975
consensus,Imperative_MsgNonForking,270,50000,1304.23,5325
consensus,Imperative_MsgNonForking,271,50000,853.648,3750
consensus,Imperative_MsgNonForking,272,50000,1337.49,4925
consensus,Imperative_MsgNonForking,273,50000,374.137,3075
consensus,Imperative_MsgNonForking,274,50000,1316.98,5350
consensus,Imperative_MsgNonForking,275,50000,765.972,4500
consensus,Imperative_MsgNonForking,276,50000,301.168,2575
consensus,Imperative_MsgNonForking,277,50000,824.332,4475
consensus,Imperative_MsgNonForking,278,50000,1133.36,4600
consensus,Imperative_MsgNonForking,279,50000,1120.92,4600
consensus,Imperative_MsgNonForking,280,50000,1261.72,5375
consensus,Imperative_MsgNonForking,281,50000,1656.52,5175
consensus,Imperative_MsgNonForking,282,50000,705.485,4325
consensus,Imperative_MsgNonForking,283,50000,1337.92,4700
consensus,Imperative_MsgNonForking,284,50000,890.418,4875
consensus,Imperative_MsgNonForking,285,50000,819.525,4725
consensus,Imperative_MsgNonForking,286,50000,1065.14,4925
consensus,Imperative_MsgNonForking,287,50000,299.803,3125
consensus,Imperative_MsgNonForking,288,50000,1299.88,4675
consensus,Imperative_MsgNonForking,289,50000,1094.63,4625
consensus,Imperative_MsgNonForking,290,50000,888.99,4725
consensus,Imperative_MsgNonForking,291,50000,0,0
consensus,Imperative_MsgNonForking,292,50000,1131.77,4700
consensus,Imperative_MsgNonForking,293,50000,0,0
consensus,Imperative_MsgNonForking,294,50000,911.92,4700
consensus,Imperative_MsgNonForking,295,50000,801.283,4350
consensus,Imperative_MsgNonForking,296,50000,1213.01,5025
consensus,Imperative_MsgNonForking,297,50000,1266.69,5050
consensus,Imperative_MsgNonForking,298,50000,1216.88,4775
consensus,Imperative_MsgNonForking,299,50000,1328.58,4675
consensus,Imperative_MsgNonForking,300,50000,394.295,3000
